ID;NOME;DIFFICOLTA;EFFETTO;PROBABILITA;DESCRIZIONE
1;Strade Urbane;2;Stanco;20%;Traffico e rumori rallentano i personaggi e riducono la concentrazione.
2;Cantieri;3;Stordito;25%;Rumori forti e macchinari distraggono e riducono la precisione.
3;Parco Cittadino;1;Felice;30%;Ambiente rilassante che aumenta morale e velocità temporaneamente.
4;Fabbrica;4;Bruciato;20%;Calore e macchinari possono infliggere danni periodici.
5;Palude Urbana;3;Appiccicato;30%;Fango e acqua rallentano il movimento e le azioni.
6;Distretto Innevato;3;Congelato;25%;Neve e ghiaccio ostacolano il movimento.
7;Laboratorio Robotico;4;Iperattivo;20%;Ambienti pieni di macchine e stimoli aumentano movimento ma riducono precisione.
8;Tempesta Crossover;5;Confuso;35%;Effetti imprevedibili dai multiversi possono alterare le azioni dei personaggi.
9;Centrale Elettrica;4;Elettrizzato;25%;Contatti con fonti elettriche possono immobilizzare o danneggiare.
10;Fiume o Lago Cittadino;2;Bagnato;30%;Scivolosità e acqua possono rallentare le azioni.
11;Distretto Radioattivo;5;Intossicato;30%;"Esposizione a radiazioni riduce salute e rigenerazione; rischio di danni progressivi."
12;Città Abbandonata;4;Disorientato;25%;Percorsi complicati e strutture crollate rendono difficile orientarsi e completare azioni.
13;Vulcano Attivo;6;Bruciato;35%;Lava e calore estremo infliggono danni continui e ostacolano il movimento.
14;Foresta Oscura;4;Accecato;30%;Penombra e vegetazione fitta riducono la visibilità e precisione nelle azioni.
15;Montagna Ventosa;3;Rallentato;30%;Venti forti e terreno instabile riducono velocità e agilità.
16;Caverna Gelata;5;Congelato;30%;Ghiaccio e temperature estreme bloccano movimento e rendono le azioni rischiose.
17;Labirinto Magnetico;6;Confusione magica;35%;Distorsioni magiche alterano le azioni e possono spostare il personaggio senza controllo.
18;Ponte Sospeso Instabile;4;Slittante;25%;Superficie scivolosa e movimenti bruschi possono far cadere i personaggi.
19;Zona Sismica;5;Infortunato;30%;Scosse e crolli improvvisi riducono forza e destrezza temporaneamente.
20;Laboratorio Chimico;5;Avvelenato;25%;Esposizione a sostanze tossiche infligge danni periodici finché non si cura l’effetto.
21;Tempesta Magnetica;7;Confuso / Iperattivo;40%;"Campi magnetici instabili alterano movimenti e azioni; stimolano iperattività e imprecisione."
22;Cratere Lavico;8;Bruciato / Panico;45%;Lava e gas tossici infliggono danni e possono far fuggire i personaggi involontariamente.
23;Fabbrica Abbandonata;7;Stordito / Distratto;35%;Macchinari arrugginiti e rumori rendono difficile concentrazione e precisione.
24;Tempesta Psionica;8;Confusione magica / Paura;40%;"Onde psioniche alterano azioni e morale; rischio di fallire obiettivi o attaccare amici."
25;Canyon Franato;7;Slittante / Infortunato;35%;Terreno instabile e cadute possibili riducono mobilità e causano danni fisici.
26;Mare in Tempesta;8;Bagnato / Stordito;40%;Onde alte e vento riducono precisione, movimento e possono affaticare rapidamente.
27;Zona Radioattiva Avanzata;9;Intossicato / Sonnolenza;45%;Esposizione estrema a radiazioni riduce rigenerazione e forza, con rischio di collasso.
28;Vulcano in Eruzione;9;Bruciato / Confuso;50%;Lava, gas e crolli rendono movimenti e azioni rischiosi e imprevedibili.
29;Tempesta Dimensionale;10;Confusione magica / Panico;50%;"Distorsioni interdimensionali alterano gravità e posizione; alto rischio di azioni involontarie."
30;Laboratorio Apocalittico;10;Avvelenato / Elettrizzato;45%;Sostanze tossiche e macchinari difettosi infliggono danni continui, immobilizzazioni e pericolo costante.
