ID;NOME;DESCRIZIONE;BUDGET PUNTI STATISTICHE INIZIALI
GRADO1;Debole;Individuo con scarsa condizione fisica o mentale. Punti deboli evidenti e necessita di supporto.;50
GRADO2;Inesperto;L'adulto medio senza alcuna specializzazione o addestramento. Livello di potere base, media perfetta.;60
GRADO3;Apprendista;Adulto con esperienza lavorativa manuale o addestramento formale minimo in un campo.;65
GRADO4;Professionista;Addestrato in una singola disciplina civile, tecnica o accademica. Condizione fisica o mentale superiore alla media.;70
GRADO5;Specialista;Addestramento intenso, competenza provata in combattimento, scienza o magia.;75
GRADO6;Veterano;Anni di esperienza e abilità nettamente superiori. Pochi punti deboli evidenti.;80
GRADO7;Maestro;Eccellenza riconosciuta nel suo campo. Condizione di eroe minore o leader.;85
GRADO8;Elite;Capacità fisiche o mentali estreme, frutto di genetica, tecnologia o addestramento estremo.;90
GRADO9;Campione;Fama e potere inter-dimensionale. Riconosciuto come un punto di svolta nelle narrazioni.;95
GRADO10;Leggendario;Potere e potenziale quasi illimitati. La sua sola presenza influenza l'ambiente circostante.;100
